Untitled report
1 December 2025 - 1 March 2026
Campaign,Day,Currency code,Cost,Clicks,Impr.,Conversions,Conv. value,Cost / conv.
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-17,GBP,301.14,207,"4,397",24.79,706.95,12.15
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-17,GBP,303.75,273,"5,394",0.29,119.04,1037.89
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-17,GBP,29.83,39,519,0.10,4.25,305.77
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-18,GBP,801.78,635,"51,049",34.65,"8,723.87",23.14
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-18,GBP,109.66,334,"1,333",21.47,"4,485.32",5.11
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-18,GBP,1023.04,"1,573","151,838",71.75,"12,332.91",14.26
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-18,GBP,267.35,426,"1,783",22.10,"3,245.19",12.10
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-18,GBP,17.17,47,151,0.00,0.00,0
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-18,GBP,187.44,318,"22,688",18.22,"2,235.57",10.29
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-18,GBP,363.66,600,"29,262",18.64,"7,203.10",19.51
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-18,GBP,400.01,897,"3,658",63.59,"9,817.64",6.29
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-18,GBP,57.76,165,680,8.00,"1,708.07",7.22
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-18,GBP,318.13,157,"3,634",2.00,467.79,159.06
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-18,GBP,595.19,342,"6,960",4.65,313.59,127.94
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-18,GBP,540.49,441,"9,145",4.19,"1,050.65",129.10
US_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2026-02-18,GBP,0.00,0,15,0.00,0.00,0
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-18,GBP,110.63,84,"1,331",0.20,29.99,567.01
AU_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2026-02-18,GBP,0.61,1,34,0.00,0.00,0
DE_DE_PaidSearch_Google_COMP_AlwaysOn_Conv,2026-02-18,GBP,0.00,0,0,0.00,0.00,0
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-19,GBP,932.86,720,"59,550",51.15,"10,746.21",18.24
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-19,GBP,74.45,333,"1,342",23.17,"8,250.96",3.21
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-19,GBP,1131.53,"1,661","171,506",50.10,"7,842.97",22.58
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-19,GBP,228.44,463,"1,706",37.84,"8,132.64",6.04
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-19,GBP,14.02,36,144,2.00,616.61,7.01
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-19,GBP,183.78,272,"26,453",7.44,"1,701.48",24.70
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-19,GBP,657.04,829,"37,636",18.34,"4,244.76",35.83
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-19,GBP,466.17,882,"3,739",64.03,"9,077.08",7.28
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-19,GBP,72.94,168,590,10.05,"1,751.08",7.26
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-19,GBP,727.88,295,"6,340",4.97,"1,323.79",146.40
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-19,GBP,878.67,471,"9,582",4.58,456.88,192.04
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-19,GBP,840.57,631,"11,254",13.00,"3,570.83",64.66
US_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2026-02-19,GBP,178.29,54,"1,289",0.37,110.23,478.34
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-19,GBP,203.95,113,"1,836",3.00,792.64,67.98
AU_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2026-02-19,GBP,36.73,24,429,0.00,0.00,0
DE_DE_PaidSearch_Google_COMP_AlwaysOn_Conv,2026-02-19,GBP,0.00,0,11,0.00,0.00,0
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-20,GBP,875.56,696,"59,210",44.15,"9,973.85",19.83
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-20,GBP,87.96,422,"1,777",35.00,"11,871.11",2.51
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-20,GBP,1210.22,"1,660","179,656",34.69,"6,330.29",34.89
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-20,GBP,238.57,412,"1,858",22.73,"4,164.66",10.50
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-20,GBP,11.54,39,177,4.00,710.07,2.88
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-20,GBP,196.71,276,"21,921",17.55,"3,162.40",11.21
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-20,GBP,682.99,818,"39,580",26.52,"5,405.93",25.75
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-20,GBP,496.12,"1,127","4,353",93.66,"20,552.45",5.30
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-20,GBP,66.77,187,670,5.78,"1,309.71",11.55
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-20,GBP,690.44,311,"5,865",6.32,"1,137.32",109.32
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-20,GBP,493.32,305,"6,982",13.50,"1,536.20",36.54
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-20,GBP,558.89,445,"8,100",3.34,"1,142.58",167.37
